[Step 206] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3350m | Success: ❌
[Step 207] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3351m | Success: ❌
[Step 208] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 209] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3352m | Success: ❌
[Step 210] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 211] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3352m | Success: ❌
[Step 212] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3352m | Success: ❌
[Step 213] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3352m | Success: ❌
[Step 214] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
[Step 215] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 216] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 217] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step 218] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3352m | Success: ❌
[Step 219] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step 220] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3359m | Success: ❌
[Step 221] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step 222] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 223] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step 224] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step 225] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step 226] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 227] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step 228] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step 229] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3354m | Success: ❌
[Step 230] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step 231] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3353m | Success: ❌
[Step 232] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3356m | Success: ❌
[Step 233] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3357m | Success: ❌
[Step 234] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3355m | Success: ❌
[Step 235] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3358m | Success: ❌
[Step 236] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3363m | Success: ❌
[Step 237] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3379m | Success: ❌
[Step 238] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3379m | Success: ❌
[Step 239] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3379m | Success: ❌
[Step 240] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3379m | Success: ❌
[Step 241] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3379m | Success: ❌
[Step 242] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3379m | Success: ❌
[Step 243] Reward:   0.00 | Episode Reward:   0.00 | Obj->Target: 224.3379m | Success: ❌
